Order,Period,Location ID,Sample ID,Lab Number,Year,Season,Location,Treatment,Sample,P Ibs/A,P Rating,K Ibs/A,K Rating,Mg Ibs/A,Mg Rating,Ca Ibs/A,Ca Rating,Soil pH,Buffer pH,S Ibs/A,S Rating,B Ibs/A,B Rating,Zn Ibs/A,Zn Rating,Mn Ibs/A,Mn Rating,Fe Ibs/A,Fe Rating,Cu Ibs/A,Cu Rating,Na Ibs/A,OM %,ENR Ibs/A,CEC meq,K % BS,Mg % BS,Ca % BS,H % BS,Na % BS,Lime SFR tons/acre,N SFR,P SFR,K SFR,Mg SFR,S SFR,B SFR,Zn SFR,Mn SFR,Fe SFR,Cu SFR
17,2,11,Fall 2023-5,612132QW,2023,Fall,LEAF,Burn,5,66,M,120,L,97,L,504,L,5,7.45,23,L,0.6,L,13.7,H,95,A,559,VH,1.9,M,25,1.25,25,4.1,3.8,9.9,30.9,54,1.3,2.9,30,50,70,10,12,0.6,NA,NA,NA,NA
18,2,11,Fall 2023-6,612133QW,2023,Fall,LEAF,Burn,6,55,M,70,L,71,L,289,L,4.6,7.25,24,L,0.5,L,4.7,M,31,M,496,VH,1,L,27,0.97,19,4.2,2.2,7.1,17.3,72,1.4,4.2,30,50,90,10,11,0.7,NA,10,NA,0.5
19,2,11,Fall 2023-7,612134QW,2023,Fall,LEAF,Burn,7,37,L,68,L,106,M,475,L,4.6,7.25,26,M,0.5,L,5.3,M,53,M,558,VH,1.3,L,31,1.66,33,4.8,1.8,9.2,24.8,62.7,1.4,4.2,30,50,90,10,9,0.7,NA,NA,NA,0.2
20,2,11,Fall 2023-8,612135QW,2023,Fall,LEAF,Burn,8,82,M,128,M,141,M,887,M,5,7.35,29,M,0.9,L,6.4,A,42,M,864,VH,1,L,35,1.87,37,5.6,2.9,10.4,39.3,46.1,1.3,3.3,30,50,70,10,6,0.3,NA,3,NA,0.5
21,2,11,Fall 2023-9,612136QW,2023,Fall,LEAF,Burn,9,73,M,137,M,159,A,513,L,4.7,7.2,33,M,0.8,L,14.4,VH,89,A,877,VH,1.2,L,31,2.13,43,5.4,3.3,12.3,23.8,59.4,1.3,4.3,30,50,70,NA,2,0.4,NA,NA,NA,0.3
22,2,11,Fall 2023-10,612137QW,2023,Fall,LEAF,Burn,10,74,M,96,L,97,L,597,L,5,7.4,27,M,0.7,L,5.8,M,149,A,400,VH,1.2,L,30,1.02,20,4.5,2.7,9,33.3,53.5,1.5,3.1,30,50,80,10,8,0.5,NA,NA,NA,0.3
23,3,21,Winter 2023-1-S,612138QW,2023,Winter,Daigle,S,1,14,L,71,L,88,L,376,L,4.9,7.45,29,M,0.5,L,2,L,81,A,363,H,0.6,L,40,1.12,22,3.7,2.5,10,25.5,59.7,2.4,3,30,80,90,10,6,0.7,2,NA,NA,0.9
24,3,21,Winter 2023-1,612139QW,2023,Winter,Daigle,Burn+Graze,1,15,L,82,L,172,A,839,M,5,7.15,24,L,0.6,L,1.3,L,360,H,310,H,0.7,L,56,2.75,55,6.4,1.6,11.1,32.6,52.8,1.9,4.2,30,75,80,NA,11,0.6,3,NA,NA,0.8
25,3,21,Winter 2023-2,612140QW,2023,Winter,Daigle,Burn+Graze,2,8,L,70,L,118,M,727,M,5.4,7.75,28,M,0.5,L,6,A,227,H,277,H,0.6,L,53,0.95,19,3.5,2.6,14,51.7,28.5,3.3,1.4,30,85,90,10,7,0.7,NA,NA,NA,0.9
26,3,22,Winter 2023-1-C,612141QW,2023,Winter,Daigle,Control,1,9,L,69,L,87,L,432,L,4.4,7,25,M,0.3,L,1.5,L,86,A,326,H,0.6,L,43,1.74,35,5.6,1.6,6.4,19.2,71.1,1.7,5.6,30,85,90,10,10,0.9,3,NA,NA,0.9
27,3,22,Winter 2023-2-C,612142QW,2023,Winter,Daigle,Control,2,7,L,75,L,99,L,350,L,4.7,7.25,34,M,0.5,L,1,L,51,M,235,H,0.5,L,47,1.4,28,4.5,2.1,9.2,19.5,66.9,2.3,4.1,30,85,90,10,1,0.7,3,NA,NA,1
28,4,11,Spring 2024-1,612165QW,2024,Spring,LEAF,Burn,1,14,L,60,L,82,L,392,L,5.2,7.45,62,A,0.7,L,7.6,A,50,M,506,VH,0.8,L,148,0.87,17,3.9,2,8.7,25,56.1,8.2,2.6,30,80,90,10,NA,0.5,NA,NA,NA,0.7
29,4,11,Spring 2024-2,612166QW,2024,Spring,LEAF,Burn,2,15,L,56,L,78,L,347,L,4.9,7.3,61,A,0.6,L,9.4,A,17,L,394,H,0.7,L,150,0.67,13,4.4,1.6,7.4,19.8,63.8,7.4,3.6,30,75,90,10,NA,0.6,NA,10,NA,0.8
30,4,11,Spring 2024-3,612167QW,2024,Spring,LEAF,Burn,3,51,M,113,L,74,L,536,L,5.3,7.5,57,A,0.6,L,10.4,H,172,A,312,H,7.9,H,145,0.8,16,4.1,3.5,7.5,32.6,48.7,7.7,2.3,30,50,80,10,NA,0.6,NA,NA,NA,NA
31,4,11,Spring 2024-4,612168QW,2024,Spring,LEAF,Burn,4,76,M,149,M,93,L,491,L,5.6,7.75,84,H,0.7,L,6,A,189,A,201,H,1.4,L,148,0.47,9,3.1,6.1,12.4,39.2,32,10.3,1.1,30,50,70,10,NA,0.5,NA,NA,NA,0.1
32,4,21,Spring 2024-1,612143QW,2024,Spring,Daigle,Burn+Graze,1,2,L,47,L,62,L,226,L,5,7.4,69,A,0.7,L,5.7,M,24,L,395,H,0.5,L,138,0.98,20,3.6,1.7,7.2,15.8,67,8.4,3.1,30,90,90,10,NA,0.5,NA,10,NA,1
33,4,21,Spring 2024-2,612144QW,2024,Spring,Daigle,Burn+Graze,2,3,L,59,L,112,M,427,L,5.1,7.45,76,H,0.6,L,7.9,M,87,A,339,H,0.6,L,199,0.87,17,4.2,1.8,11,25.2,51.9,10.2,2.7,30,90,90,10,NA,0.6,NA,NA,NA,0.9
34,4,21,Spring 2024-3,612145QW,2024,Spring,Daigle,Burn+Graze,3,4,L,46,L,57,L,236,L,5.1,7.45,66,A,0.7,L,3.8,L,16,L,483,VH,0.5,L,155,1.12,22,3.4,1.7,6.9,17.2,64.3,9.8,2.7,30,90,90,15,NA,0.5,NA,10,NA,1
35,4,21,Spring 2024-4,612146QW,2024,Spring,Daigle,Burn+Graze,4,3,L,50,L,56,L,248,L,5,7.5,80,H,0.6,L,4.5,M,39,M,449,VH,0.5,L,185,0.81,16,3.3,1.9,7,18.7,60.2,12.1,2.7,30,90,90,15,NA,0.6,NA,6,NA,1
36,4,21,Spring 2024-5,612147QW,2024,Spring,Daigle,Burn+Graze,5,3,L,51,L,102,M,399,L,5.2,7.5,63,A,0.6,L,6.8,A,69,A,326,H,0.9,L,184,0.81,16,3.9,1.7,10.9,25.7,51.4,10.3,2.4,30,90,90,10,NA,0.6,NA,NA,NA,0.6
37,4,21,Spring 2024-6,612148QW,2024,Spring,Daigle,Burn+Graze,6,4,L,62,L,69,L,323,L,5.2,7.55,104,VH,0.7,L,5.6,M,157,A,272,H,0.6,L,253,0.74,15,3.5,2.3,8.2,22.9,51.1,15.6,2.2,30,90,90,10,NA,0.5,NA,NA,NA,0.9
38,4,21,Spring 2024-7,612149QW,2024,Spring,Daigle,Burn+Graze,7,4,L,60,L,69,L,365,L,5.5,7.55,96,H,0.7,L,9.2,A,155,A,295,H,0.5,L,243,0.96,19,3.6,2.1,8,25.3,49.9,12.7,1.8,30,90,90,10,NA,0.5,NA,NA,NA,1
39,4,21,Spring 2024-8,612150QW,2024,Spring,Daigle,Burn+Graze,8,5,L,88,L,105,M,563,L,5.7,7.75,172,VH,1.1,M,14.2,VH,233,H,245,H,0.5,L,385,0.77,15,3.8,3,11.5,37.1,26.4,22.1,1,30,85,80,10,NA,0.1,NA,NA,NA,1
40,4,22,Spring 2024-1-C,612151QW,2024,Spring,Daigle,Control,1,4,L,61,L,61,L,295,L,5.3,7.55,105,VH,0.5,L,2.2,L,122,A,280,H,1.8,M,212,0.99,20,3.3,2.3,7.6,22.1,54,13.8,2.1,30,90,90,10,NA,0.7,2,NA,NA,
41,4,22,Spring 2024-2-C,612152QW,2024,Spring,Daigle,Control,2,6,L,69,L,78,L,401,L,5.2,7.35,82,H,0.6,L,2,L,52,M,192,A,0.9,L,212,1.73,35,4.5,2,7.3,22.4,58.1,10.3,3,30,85,90,10,NA,0.6,2,NA,NA,0.6
42,4,22,Spring 2024-3-C,612153QW,2024,Spring,Daigle,Control,3,5,L,56,L,87,L,355,L,5.2,7.35,54,A,0.6,L,1.4,L,36,M,724,VH,0.6,L,139,1.05,21,4.2,1.7,8.6,21,61.6,7.2,3,30,85,90,10,NA,0.6,3,9,NA,0.9
43,5,11,Summer 2024-1,612169QW,2024,Summer,LEAF,Burn,1,29,L,63,L,112,M,454,L,4.9,7.2,40,M,0.6,L,3.5,L,31,M,430,VH,0.6,L,79,0.84,17,5.1,1.6,9.2,22.5,63.3,3.4,4.1,30,65,90,10,NA,0.6,1,10,NA,0.9
44,5,11,Summer 2024-2,612170QW,2024,Summer,LEAF,Burn,2,19,L,50,L,90,L,406,L,5,7.45,47,M,0.8,L,4.1,M,57,M,718,VH,0.9,L,96,0.99,20,3.9,1.7,9.7,26.3,57,5.4,2.9,30,75,90,10,NA,0.4,NA,NA,NA,0.6
45,5,11,Summer 2024-3,612171QW,2024,Summer,LEAF,Burn,3,70,M,98,L,114,M,890,M,5.1,7.45,47,M,0.7,L,7.9,A,171,A,467,VH,1.9,M,80,1.05,21,5.2,2.4,9.1,42.8,42.3,3.3,2.7,30,50,80,10,NA,0.5,NA,NA,NA,NA
46,5,11,Summer 2024-4,612172QW,2024,Summer,LEAF,Burn,4,73,M,102,L,95,L,549,L,5.5,7.7,33,M,0.5,L,2.9,L,190,A,216,H,1.6,M,56,0.51,10,3.2,4.1,12.3,42.6,37.3,3.8,1.3,30,50,80,10,2,0.7,1,NA,NA,NA
47,5,11,Summer 2024-1-B,612118QW,2024,Summer,LEAF,Burn,1,54,M,60,L,120,M,513,L,4.8,7.3,45,M,0.4,L,4,M,35,M,642,VH,0.8,L,47,1.29,26,4.8,1.6,10.5,26.9,58.8,2.1,3.8,30,50,90,10,NA,0.8,NA,10,NA,0.7
48,5,11,Summer 2024-2-B,612119QW,2024,Summer,LEAF,Burn,2,39,L,52,L,95,L,395,L,4.9,7.25,24,L,0.4,L,3.6,L,30,M,672,VH,0.5,L,33,1.3,26,4.5,1.5,8.8,21.8,66.3,1.6,3.9,30,55,90,10,11,0.8,NA,10,NA,1
49,5,12,Summer 2024-1-B-C,612120QW,2024,Summer,LEAF,Control,1,170,H,75,L,102,M,632,M,4.8,7.4,28,M,0.4,L,23.3,VH,218,H,488,VH,2.3,M,31,1.38,28,4.6,2.1,9.3,34.6,52.5,1.5,3.3,30,50,90,10,7,0.8,NA,NA,NA,NA
50,5,12,Summer 2024-2-B-C,612121QW,2024,Summer,LEAF,Control,2,178,H,81,L,130,M,771,M,4.8,7.35,39,M,0.4,L,23.7,VH,229,H,508,VH,2.6,M,49,1.35,27,5.3,2,10.3,36.5,49.2,2,3.6,30,50,80,10,NA,0.8,NA,NA,NA,NA
51,5,21,Summer 2024-1-B,612122QW,2024,Summer,Daigle,Burn+Graze,1,20,L,44,L,132,M,647,M,5.1,7.4,26,M,0.5,L,2.7,L,222,H,409,VH,1,L,55,1.49,30,4.7,1.2,11.6,34.1,50.6,2.5,3,30,70,90,10,9,0.7,1,NA,NA,0.5
52,5,21,Summer 2024-2-B,612123QW,2024,Summer,Daigle,Burn+Graze,2,7,L,38,L,129,M,620,M,5.1,7.4,36,M,0.5,L,0.8,L,225,H,408,VH,0.8,L,52,1.44,29,4.6,1,11.6,33.3,51.6,2.4,3,30,85,90,10,NA,0.7,3,NA,NA,0.7
53,5,21,Summer 2024-1-B-B,612124QW,2024,Summer,Daigle (back),Burn+Graze,1,7,L,287,A,149,M,785,M,5.6,7.65,45,M,0.6,L,0.9,L,375,H,459,VH,0.9,L,57,1.33,27,4.5,8.2,13.9,43.9,31.3,2.8,1.3,30,85,70,10,NA,0.6,3,NA,NA,0.6
54,5,21,Summer 2024-2-B-B,612125QW,2024,Summer,Daigle (back),Burn+Graze,2,7,L,329,H,161,A,868,M,5.7,7.6,46,M,0.7,L,1,L,373,H,516,VH,0.9,L,65,1.52,30,5,8.4,13.4,43.4,32,2.8,0.3,30,85,70,NA,NA,0.5,3,NA,NA,0.6
55,5,22,Summer 2024-1-B-C,612126QW,2024,Summer,Daigle (back),Control,1,6,L,62,L,55,L,223,L,4.7,7.45,33,M,0.3,L,0.6,L,46,M,355,H,0.4,L,40,0.9,18,3.2,2.5,7.3,17.7,69.8,2.8,3.3,30,85,90,15,2,0.9,3,NA,NA,1.1
56,5,22,Summer 2024-2-B-C,612127QW,2024,Summer,Daigle (back),Control,2,11,L,51,L,68,L,319,L,4.8,7.45,34,M,0.3,L,0.8,L,37,M,343,H,0.4,L,51,0.75,15,3.5,1.9,8.2,23.1,63.6,3.2,3.1,30,80,90,10,1,0.9,3,8,NA,1.1
57,5,21,Summer 2024-1,612157QW,2024,Summer,Daigle,Burn+Graze,1,4,L,54,L,116,M,472,L,5,7.45,80,H,0.5,L,3.2,L,106,A,383,H,0.7,L,203,1.01,20,4.4,1.6,11.1,27,50.3,10.1,2.9,30,90,90,10,NA,0.7,1,NA,NA,0.8
58,5,21,Summer 2024-2,612158QW,2024,Summer,Daigle,Burn+Graze,2,10,L,64,L,71,L,272,L,4.9,7.45,77,H,0.5,L,3.9,L,79,A,503,VH,0.8,L,178,1.07,21,3.6,2.3,8.1,18.7,60.4,10.6,3,30,80,90,10,NA,0.7,NA,NA,NA,0.7
59,5,21,Summer 2024-3,612159QW,2024,Summer,Daigle,Burn+Graze,3,5,L,49,L,61,L,248,L,5,7.45,69,A,0.6,L,3.4,L,19,L,464,VH,0.5,L,165,1.17,23,3.5,1.8,7.3,17.7,62.9,10.3,2.9,30,85,90,10,NA,0.6,1,10,NA,1
60,5,21,Summer 2024-4,612160QW,2024,Summer,Daigle,Burn+Graze,4,6,L,46,L,43,L,193,L,4.9,7.45,63,A,0.5,L,3.9,L,31,M,506,VH,0.7,L,140,0.89,18,3.2,1.8,5.6,15,68.2,9.4,3,30,85,90,30,NA,0.7,NA,10,NA,0.8
61,5,21,Summer 2024-5,612161QW,2024,Summer,Daigle,Burn+Graze,5,5,L,46,L,102,M,381,L,5.1,7.45,58,A,0.4,L,3.9,L,70,A,337,H,0.9,L,132,0.6,12,3.9,1.5,10.8,24.3,56.1,7.3,2.7,30,85,90,10,NA,0.8,NA,NA,NA,0.6
62,5,21,Summer 2024-6,612162QW,2024,Summer,Daigle,Burn+Graze,6,4,L,48,L,78,L,358,L,4.9,7.5,62,A,0.4,L,3.8,L,168,A,300,H,0.7,L,143,0.72,14,3.6,1.7,9,24.9,55.7,8.7,2.8,30,90,90,10,NA,0.8,NA,NA,NA,0.8
63,5,21,Summer 2024-7,612163QW,2024,Summer,Daigle,Burn+Graze,7,3,L,42,L,59,L,326,L,5.2,7.45,61,A,0.4,L,3.3,L,157,A,344,H,0.5,L,122,0.79,16,3.6,1.5,6.9,22.8,61.5,7.4,2.6,30,90,90,15,NA,0.8,1,NA,NA,1
64,5,21,Summer 2024-8,612164QW,2024,Summer,Daigle,Burn+Graze,8,8,L,82,L,126,M,663,M,5.4,7.6,72,A,0.5,L,5,M,228,H,287,H,0.7,L,149,1,20,4.2,2.5,12.5,39.4,38,7.7,1.7,30,85,80,10,NA,0.7,NA,NA,NA,0.8
65,5,22,Summer 2024-1-C,612154QW,2024,Summer,Daigle,Control,1,4,L,45,L,65,L,351,L,5.2,7.55,56,A,0.4,L,0.8,L,150,A,288,H,0.5,L,118,0.82,16,3.3,1.8,8.3,26.9,55.2,7.9,2.2,30,90,90,10,NA,0.8,3,NA,NA,1
66,5,22,Summer 2024-2-C,612155QW,2024,Summer,Daigle,Control,2,6,L,44,L,82,L,360,L,4.7,7.1,86,H,0.4,L,1.2,L,24,L,320,H,0.5,L,163,1.42,28,5.3,1.1,6.5,17.1,68.5,6.7,4.7,30,85,90,10,NA,0.8,3,10,NA,1
67,5,22,Summer 2024-3-C,612156QW,2024,Summer,Daigle,Control,3,3,L,43,L,62,L,239,L,4.8,7.35,74,A,0.4,L,0.9,L,26,L,331,H,0.5,L,149,1.05,21,3.8,1.4,6.7,15.6,67.8,8.4,3.6,30,90,90,10,NA,0.8,3,10,NA,1
